,PORT_NAME,INDEX_NO,coords
491,Yanwei Gang,,"((119.78913996449022, 34.47884797118604),)"
516,Dockyard Port of Portsmouth,,"((-1.1192482586989065, 50.6515938505),)"
532,Port Hawkesbury,,"((-61.225691625919524, 45.498383813),)"
533,Chemainus,,"((-123.5339073195833, 48.7096491685),)"
536,Chemainus-Ladysmith,,"((-123.72890913870589, 48.995791962),)"
537,Victoria,,"((-123.4493705745, 48.403568258),)"
542,Prince Rupert,,"((-130.34906717375, 54.1481678325),)"
545,Trois-Rivières,,"((-72.4689288919142, 46.3728989095),)"
612,DARU,53150.0,"((143.2780000515, -9.114556275),)"
621,KUALA SUNGAI LINGGI PORT LIMIT,,"((102.05999518675, 2.2790628155),)"
626,,,"((-13.154176076999999, 8.496193522),)"
627,,,"((-13.231731858697088, 8.543901513),)"
629,Port of London Authority,,"((0.7571891550000001, 51.499755866499996),)"
17018,CP01-I,,"((-77.3236172972247, 3.7683227006345987),)"
640,Port of Dundee,,"((-2.7723541615, 56.4578100105),)"
641,Port of London Authority,,"((1.2970902745, 51.525280312),)"
642,Port of London Authority,,"((1.049355813, 51.51159916),)"
650,Bantry Bay Harbour,,"((-9.645538357499998, 51.648923567500006),)"
651,Bantry Bay Harbour,,"((-9.790078969507178, 51.618368974),)"
669,Dockyard Port of Portsmouth,,"((-1.0354103755097164, 50.693478010999996),)"
679,Harwich Haven Authority,,"((1.440999987, 51.937746643),)"
680,Harwich Haven Authority,,"((1.55469815675, 51.9278562905),)"
689,Lerwick Port Authority,,"((-1.1481369064045803, 60.1103029815),)"
697,Orkney Harbour Authority,,"((-3.0775235904795175, 58.763453601500004),)"
17084,Twielenfleth-Reede,,"((9.555312441754056, 53.6130499925),)"
17094,,,"((103.64333108478365, 1.170416688),)"
712,Carlingford Lough Harbour Authority,,"((-6.085992350580719, 54.009924725999994),)"
726,Port of Bristol,,"((-3.091629571186796, 51.355706532),)"
727,Port of Cardiff,,"((-3.140323813706992, 51.420703665000005),)"
17121,San Pablo Bay Anchorage No 19,,"((-122.2961476205, 38.082675025),)"
740,EL HAMRA OIL TERMINAL,45175.0,"((28.875773037761952, 30.9672006025),)"
17128,Suisun Bay Anchorage Area No 27,,"((-122.03406052642322, 38.0798458395),)"
17132,Port Everglades Commercial Anchorage,,"((-80.07319448084061, 26.127152758999998),)"
752,Si Chang,,"((100.77335444331939, 13.168670253),)"
753,Laem Chabang,,"((100.83168419, 13.043638933),)"
754,Phatthaya Harbour,,"((100.80225903243958, 12.919490416),)"
17137,"Annapolis Harbor, MD, Naval Anchorage for Deep Draft Vessels Area",,"((-76.4261411705, 38.9502098405),)"
756,Phatthaya Harbour,,"((100.77095414178388, 12.916740649000001),)"
764,,,"((177.99488867547475, -38.717440869),)"
768,Panjin Gang,,"((121.96524547849705, 40.708153852500004),)"
770,Jiaxing Gang,,"((121.2421633193181, 30.66425553),)"
17221,,,"((118.11881398782134, 5.831735031679273),)"
17222,,,"((118.12302698381245, 5.829733433201909),)"
17223,,,"((118.14370319664084, 5.8272053244999995),)"
17224,,,"((118.15059850113673, 5.8389273745),)"
841,Akrotiri Harbour,,"((33.0341760472169, 34.573007505),)"
842,Çanakkale Harbour,,"((26.13409775161738, 39.996088212000004),)"
851,Güllük Liman,,"((27.408603260662964, 37.2708449555),)"
854,Izmir Liman Idari,,"((26.706675402801444, 38.5766485745),)"
856,Bodrum Harbour,,"((27.4003625095, 36.956047745999996),)"
863,Amasra Harbour,,"((32.39510888773928, 41.7839124095),)"
864,Bartin Harbour,,"((32.29737747675, 41.794261964499995),)"
866,Çanakkale Harbour,,"((26.135048292506696, 39.8728811925),)"
869,,,"((139.71683556975, 35.2958424245),)"
870,,,"((132.23708022204426, 34.232342694500005),)"
874,,,"((133.28662385712187, 33.3720297265),)"
17269,,,"((159.97431501746178, -9.422115040943027),)"
893,Port of Kandla,,"((70.2965937875, 22.9380287875),)"
894,Port of Dighi,,"((72.83242844050869, 18.3065672815),)"
17279,Anchorage Area B,,"((-80.07721859594142, 25.790053736),)"
17287,Wilson Hill Anchorage,,"((-75.04999579684105, 44.93910694),)"
905,Port of Dhamra,,"((87.05739818046408, 20.8362493845),)"
906,Bhogat Port,,"((69.14045142826845, 21.910661220999998),)"
907,,,"((69.03759825675, 21.943386140999998),)"
17295,,,"((-74.27430122952467, 45.214120828999995),)"
912,Geraldton Port,,"((114.56326319123261, -28.7082030155),)"
911,Bunbury Port,,"((115.60229032040272, -33.284395771999996),)"
913,Geraldton Port,,"((114.53828335337295, -28.5764074365),)"
17301,1,,"((-75.53270614602678, 44.690138347499996),)"
17309,,,"((-74.23378764555656, 45.231227078),)"
17311,,,"((-74.01676117340976, 45.225782613),)"
17333,No 3,,"((-77.15826028345711, -12.039161338),)"
955,Yangjiang Gang,,"((111.7878325588668, 21.615490321499998),)"
17340,No 1,,"((-77.19160068398409, -12.026219470000001),)"
17341,No 9,,"((-77.19259038332763, -12.033204068),)"
1012,Port of Kollam,,"((76.47457582056309, 8.8561398115),)"
1016,Caniçal Harbour,,"((-16.726728623123087, 32.695278762),)"
1025,Huludao Gang,,"((119.97184370546887, 40.0256054065),)"
1028,Ningbo-Zhoushan Gang(Zhoushan),,"((121.92769203500222, 30.025131516000002),)"
1031,Ningbo-Zhoushangang(Ningbo),,"((122.01414976580043, 29.823891534),)"
17428,,,"((-46.34152905025, -24.0661626305),)"
17439,No1,,"((121.10910156740091, 40.707181007),)"
1056,,,"((132.9278912146331, 34.2451230435),)"
1060,,,"((132.92107666752935, 34.228574568),)"
1090,Port of Kulpi,,"((88.2221916603778, 22.0946732485),)"
1091,Port of Forcados,,"((5.403438134452276, 5.378605909),)"
1092,Port of Burutu,,"((5.4848734072837, 5.3908313759999995),)"
1093,Port of Warri,,"((5.725579280476255, 5.5059606720000005),)"
1107,Zhanjiang Gang,,"((110.608611102, 21.0748721515),)"
1108,Zhanjiang Gang,,"((110.60528754076844, 21.008726991),)"
50259,Ash Shihr Terminal,,"((49.524476353638455, 14.6824651205),)"
1130,Port of Bristol,,"((-2.9483467200657887, 51.432571518),)"
1144,,,"((-73.1948484758725, -41.7938497005),)"
1164,District of Grand Port Maritime de Rouen,,"((-0.35585721535507675, 49.540265011),)"
1173,Khalifa Port,,"((54.58806210293944, 24.9827688785),)"
1184,Mina' Rashid Port Limit,,"((55.155055811500006, 25.294312359),)"
1185,AJMAN,48270.0,"((55.40800224475, 25.4373289595),)"
1245,,,"((134.95636221411763, 34.2702394575),)"
1246,,,"((135.02277897810208, 34.592448365500005),)"
1247,,,"((134.98987875191787, 34.639320806),)"
1269,Port Baltiysk Outer Roads,,"((19.80356472115065, 54.604542804),)"
1270,Port Baltiysk Outer Roads,,"((19.792961479528984, 54.720297977),)"
1285,Tianjin Gang,,"((118.12464888175, 39.034877624),)"
1321,,,"((-27.014536508, 38.720666812),)"
1327,Edremit Harbour,,"((26.068619105462, 39.4411512785),)"
1331,Tuzla Liman,,"((29.274992672499998, 40.7378373985),)"
1332,Dikili Harbour,,"((26.755281428793356, 38.964753742),)"
1333,Izmir Harbour,,"((26.56758063625, 38.752503418),)"
1334,Kemer Harbour,,"((30.579087514999998, 36.376838078000006),)"
1335,Antalya Harbour,,"((30.698340665, 36.351906652),)"
1336,Finike Liman,,"((30.461949473810737, 36.1322731285),)"
1337,Kemer Harbour,,"((30.628449632, 36.5893647115),)"
1340,Bozcaada Harbour,,"((25.983333005, 39.9370968805),)"
1341,Bozcaada Harbour,,"((25.982993155493944, 39.792301808000005),)"
1342,Gökçeada Harbour,,"((25.887499982, 39.962074616500004),)"
1354,Sendai Ku,,"((141.11574758525, 38.2571900215),)"
1360,,,"((139.8401666725288, 35.4128625523299),)"
17763,A,,"((-63.44296344025, 44.4955512505),)"
17764,B,,"((-63.4486659005, 44.537526313),)"
1385,,,"((130.4813324706629, 32.47091474477202),)"
17777,HH,,"((-54.12360243854654, 47.795416633),)"
17780,AA,,"((-54.01999732625287, 47.727485499),)"
1401,Port of Dhamra,,"((87.195817740856, 20.909220557),)"
1405,Port of New Mangalore,,"((74.66079894167596, 12.9609502845),)"
1406,Al Khums Port,,"((14.304915714472498, 32.675336329000004),)"
17843,,,"((-72.23523545441147, 46.499060215),)"
1463,Port of Gangavaram,,"((83.23825253575001, 17.521428968000002),)"
1464,,,"((-16.269672418124657, 28.4047702835),)"
17850,,,"((-71.51712507940829, 46.705468939617276),)"
17856,No6,,"((121.12673273716132, 37.829173960999995),)"
17887,,,"((119.0091932995987, 24.8633611245),)"
17915,"San Francisco Bay, Temporary Anchorage Number 7",,"((-122.38544870040568, 37.8218918055),)"
17916,"San Francisco Bay, Anchorage Number 14",,"((-122.3300105515, 37.7191834425),)"
17918,"San Francisco Bay, Anchorage Number 8A",,"((-122.363638826304, 37.782994117),)"
1550,Tangshan Gang,,"((119.06712856620985, 38.991341473999995),)"
1551,Outer Roads of Port Klaipeda,,"((20.96912668708686, 55.657930313),)"
1554,Tianjin Gang,,"((118.0942029595, 38.7678837495),)"
17944,,,"((-88.48697626536406, 30.2360432495),)"
17945,,,"((-88.50197315055253, 30.1869756305),)"
1575,Port of London Authority,,"((1.1025441435, 51.4396723305),)"
1576,Port of London Authority,,"((1.252353464043213, 51.692436751),)"
1592,Izmir Liman,,"((26.547129509932702, 38.675322602),)"
1593,Foça Liman,,"((26.69164992674483, 38.6922540465),)"
1594,Tekirdag Port,,"((27.208352877600802, 40.602882932499995),)"
1595,Gelibolu Harbour,,"((26.870306538563035, 40.4720492285),)"
1596,Marmara Adasi Harbour,,"((27.474136693578576, 40.456983502),)"
1601,,,"((127.6278348845, 26.230548960999997),)"
1603,,,"((126.38335114927011, 35.9587848435),)"
1606,Kolkata Port,,"((87.95349026775187, 21.743149221499998),)"
1611,Porto de Maputo,,"((32.891656905000005, -25.970555506),)"
18004,3,,"((-77.76575632701181, -10.802122433000001),)"
1627,Port of Lucinda,,"((146.43142871714522, -18.5175860995),)"
1628,Port of Carnarvon,,"((113.35764655895589, -24.580881977),)"
1629,Port of Carnarvon,,"((113.48906725185374, -25.4999930315),)"
18020,4,,"((-76.2969433325, -13.775965897),)"
18021,8,,"((-76.30444052600001, -13.762506698),)"
1639,Port Pirie,,"((137.9025527776676, -33.031406867499996),)"
1640,Port Lincoln Harbor,,"((136.025408527, -34.706288524499996),)"
1641,Port of Port Lincoln,,"((136.00729316108664, -34.6569623235),)"
1667,Aberdeen Harbour Board,,"((-2.028590501301319, 57.112778043),)"
18062,,,"((-67.31254803948104, -45.809756219387054),)"
1688,UGLEGORSK,60980.0,"((142.00770558588982, 49.076909045),)"
1701,Istanbul Port,,"((28.568923923181156, 41.495800581),)"
1706,Cesme Harbour,,"((26.270865697512896, 38.175228000000004),)"
1707,Izmir Harbour,,"((26.371811286659266, 38.691519532),)"
1708,Çesme Harbour,,"((26.580389077091652, 38.0875918915),)"
1710,Finike Liman,,"((30.156250004, 36.153301815),)"
1711,Kas Liman,,"((29.62768624825, 36.0331395635),)"
1713,Samsun Harbour,,"((36.9867445782895, 41.3549263955),)"
1716,Iskenderun Harbour,,"((35.766454477072074, 36.127655957),)"
1717,Mersin Harbour,,"((35.5330183025, 36.235071304),)"
1719,Tuzla Harbour,,"((29.194941930749998, 40.737094636500004),)"
1720,Yalova Harbour,,"((28.8495987645, 40.637630908000006),)"
1721,Ambarli Limani,,"((28.661559084980848, 40.759357492999996),)"
1722,Marmara Adasi Harbour,,"((27.709976052752577, 40.7036100645),)"
1723,Tekirdag Liman,,"((27.984844047314546, 40.731369084),)"
1724,Silivri Harbour,,"((28.288976742750002, 40.7561484625),)"
1725,Bandirma Harbour,,"((28.167632913365686, 40.6252867115),)"
1726,Mudanya Harbour,,"((28.5246719835, 40.595846199),)"
1729,Ambarli Harbour,,"((28.4994333605, 40.751668745),)"
1730,Cide Harbour,,"((33.06167617918186, 42.0359076645),)"
1731,Amasra Harbour,,"((32.59003148872536, 41.921355253499996),)"
1732,Inebolu Harbour,,"((33.54664774149648, 42.136667864),)"
1733,Sinop Harbour,,"((34.89522496492642, 42.105712909),)"
1734,Ayancik Harbour,,"((34.509531771249996, 42.085768086499996),)"
1735,Inebolu Harbour,,"((34.067425940999996, 42.029324979),)"
1737,Sinop Harbour,,"((35.39746106356922, 42.0450956555),)"
1739,Samsun Harbour,,"((35.724070504500006, 41.788274142),)"
1741,Datça Harbour,,"((27.717565493000002, 36.832278007),)"
1742,Marmaris Harbour,,"((28.151543394513006, 36.578604737),)"
1746,Kas Harbour,,"((29.339626617, 36.158797452),)"
1747,Fethiye Harbour,,"((29.19299986772893, 36.197461453),)"
1749,Antalya Harbour,,"((30.935666877000003, 36.651099896000005),)"
1752,Antalya Harbour,,"((31.086489753000002, 36.730321878),)"
1753,Alanya Liman,,"((32.560133517389446, 36.0159857475),)"
1754,Anamur Liman,,"((32.56513569860296, 36.016259374499995),)"
1757,Tasucu Harbour,,"((34.08711111375, 36.304672029),)"
1759,Gökçeada Harbour,,"((25.805680371764854, 39.991649868500005),)"
1760,Bozcaada Harbour,,"((25.825988463499996, 39.929529071000005),)"
1761,Izmir Liman,,"((26.37180426653352, 38.73283348),)"
1762,Çesme Liman,,"((26.328729844124943, 38.7419989655),)"
1766,Güllük Harbour,,"((27.24390107219089, 37.251888317500004),)"
1767,Karasu Liman,,"((30.76579970697601, 41.233913799999996),)"
1769,Karadeniz Eregli Liman,,"((31.48211623275, 41.4909409215),)"
1770,Zonguldak Liman,,"((31.84590550616445, 41.5882008375),)"
1771,Samsun Harbour,,"((36.262254640370074, 41.6022327305),)"
1774,Vakfikebir Harbour,,"((39.29606238981586, 41.199279064),)"
1776,Mersin Harbour,,"((33.29639483653277, 36.0375105165),)"
18161,D,,"((35.00081710208279, 32.8942753275),)"
1778,Kefken Liman,,"((30.125900499976254, 41.2977255225),)"
18163,C,,"((35.011850691984634, 32.908098007999996),)"
1780,Botas Harbour,,"((35.75705797842413, 36.6219695605),)"
1781,Karatas Harbour,,"((35.445160502763265, 36.480309152000004),)"
1782,,,"((144.27382831900002, 42.9723413005),)"
1790,,,"((89.50023582024608, 21.569425854000002),)"
1798,Marlborough Harbour,,"((174.11041478492564, -41.4323007495),)"
1799,Marlborough Harbour,,"((174.23536774907558, -41.466939593),)"
1807,Port Arkhangel'sk,,"((40.07244381953622, 65.054823495),)"
1812,Lianyungang Gang,,"((119.92488383459992, 34.8721305135),)"
18235,,,"((121.72018147725001, 25.1889933685),)"
1858,Sharm el Sheikh Port,,"((34.34187318249195, 27.8583378385),)"
1865,Port of Mumbai,,"((72.7326294075, 18.643041564500002),)"
1869,Gangavaram Port,,"((83.22096386064027, 17.4411778615),)"
1873,Port Of Rabaul,,"((152.18306060815712, -4.288795845999999),)"
1876,Port of Daru,,"((143.44520194174999, -9.1062584005),)"
1880,Port of Cape Preston,,"((116.17045228775, -20.736129562499997),)"
18265,,,"((72.38899342225, 21.685414798),)"
1881,Port of Geraldton,,"((114.50162478832966, -28.707957174500002),)"
1901,,,"((115.74556946590998, 5.6393904280000005),)"
1904,Pelabuhan Surabaya,,"((112.74708607817323, -6.748104994),)"
1906,Istanbul,,"((29.083083006, 41.481810017),)"
18291,,,"((118.5916753828572, -20.094975116500002),)"
1908,,,"((100.62744456233213, 7.2495274495),)"
18295,,,"((118.5116667065, -20.094979055499998),)"
1912,Port of Port Latta,,"((145.43216145213472, -40.826970850500004),)"
1914,Port of Townsville,,"((146.869299117195, -19.19539498630911),)"
1915,Halifax Harbour,,"((-63.559111513094095, 44.647063496522605),)"
1916,ST JOHN'S,1670.0,"((-52.70217804899115, 47.56277360022068),)"
18299,,,"((118.53832962425, -20.151590388),)"
1917,Fremantle Port Limit,,"((115.69856767838004, -32.07313799296262),)"
1918,ESPERANCE,54450.0,"((121.9159050779227, -33.86789683252573),)"
18302,,,"((118.57166692184498, -20.066643026500003),)"
1920,Port of Geelong,,"((144.3941245576731, -38.10173681471497),)"
1921,Port of Melbourne,,"((144.82712983817913, -38.071089684963226),)"
1919,WESTERN PORT,53930.0,"((145.23108564550057, -38.353505758568645),)"
1923,Port of Kimbe,,"((150.15259003965184, -5.5423847353085876),)"
1924,MELAKA HARBOUR LIMIT,,"((102.23910968082919, 2.1590065955),)"
1925,PELABUHAN SUNGAI UDANG,49962.0,"((102.10673186833205, 2.2304300489999997),)"
1926,Falmouth Harbour,,"((-5.018040559946362, 50.095341419),)"
1922,Port Kembla Port Limit,,"((150.92687361873686, -34.462330006062984),)"
1930,FINNART OIL TERMINAL,33405.0,"((-4.8506463320152005, 56.10404721926898),)"
1931,GLENSANDA,33210.0,"((-5.526947386097163, 56.56661692075431),)"
18315,,,"((118.5116619284512, -20.1366200155),)"
1932,Dublin Port Company,,"((-6.138609205129036, 53.330007288000004),)"
1933,ADEN,48190.0,"((44.96022262590677, 12.7640491115),)"
1935,Belledune,,"((-65.83177121483398, 47.91239175014198),)"
1934,Vancouver,,"((-123.2597273115, 49.1586226685),)"
18317,,,"((118.578331356, -20.1215855635),)"
1936,SEPT ILES,1955.0,"((-66.3882470363751, 50.19237632397562),)"
18319,,,"((118.56498858969034, -20.1216159055),)"
1938,Penglai Gang,,"((120.63333334866911, 37.79875796288252),)"
1939,Dalian Gang,,"((121.73994207831859, 38.96239100955427),)"
1942,Inner Harbour,,"((-79.36380124233364, 43.64086396526545),)"
1940,QINGDAO GANG,60140.0,"((120.22133924391858, 36.1114580135),)"
1941,Basuogang Xingang,,"((108.62354183825641, 19.05543497297913),)"
18322,,,"((118.52166094796306, -20.153315257499997),)"
1943,Port de Montréal,,"((-73.17799230519977, 46.004482582211494),)"
1944,Port de Québec,,"((-70.94337077234304, 46.877303235),)"
1945,TIANJIN XIN GANG,60190.0,"((118.03203396429149, 38.9173794765),)"
1946,Unknown,,"((121.35623435583679, 25.15945881139487),)"
18327,,,"((118.53833011449876, -20.136617333),)"
1948,PORT ADELAIDE,54220.0,"((138.42559769488577, -34.802290024235845),)"
18328,,,"((118.56499294, -20.108251506000002),)"
1949,Port of Brisbane,,"((153.26802961287123, -27.0444596093148),)"
18329,,,"((118.618494586, -20.1217498065),)"
1952,Elbehafen Brunsbüttel,,"((9.17058414530461, 53.876108312978126),)"
1955,Obereiderhafen,,"((9.679728105232556, 54.309516325592995),)"
18340,,,"((118.52499671072553, -20.1150106725),)"
1957,CUXHAVEN,30800.0,"((8.71777727324008, 53.86151085142046),)"
1958,Unknown,,"((8.759514428202541, 44.39072188921273),)"
1959,Harbour Limit,,"((13.69132217, 45.6286706645),)"
1960,BURNTISLAND,32030.0,"((-2.8599627924626247, 56.131458598500004),)"
1956,Ports of Kiel,,"((10.16440423438574, 54.33732618112117),)"
18341,,,"((118.59168073949877, -20.121610793000002),)"
1963,TRINCOMALEE HARBOR,49290.0,"((81.21447891774146, 8.556931517086923),)"
1964,BANDAR-E MAHSHAHR,48450.0,"((49.17337992674012, 30.45685237739235),)"
1965,TEESPORT,31720.0,"((-1.1055941158402398, 54.63390272576362),)"
1966,Humber Port,,"((0.4198356638844027, 53.6093665655),)"
1967,Port of Mackay,,"((149.24764055227706, -21.113455309532583),)"
18349,,,"((118.52499261225, -20.1017405275),)"
1969,Paldiski Lõunasadam,,"((24.037083357106894, 59.33333341497928),)"
1968,MUUGA-PORT OF TALLIN,28484.0,"((25.11254546552135, 59.510000003),)"
18348,,,"((118.5116592175652, -20.121614397000002),)"
1972,Outer Roadsted of the Port of Ventspils,,"((21.527026013235936, 57.44287599809468),)"
1973,JOHOR,49982.0,"((104.08482446459018, 1.4279557760000001),)"
1975,TANJUNG PELEPAS,51587.0,"((104.02746488291731, 1.3052066595),)"
1971,Vene-Balti,,"((24.62389863012151, 59.45632954593748),)"
1970,Paldiski Põhjasadam,,"((24.037083357106894, 59.33333341497928),)"
1978,Hibiki-Shinko Ku,,"((130.75632023039026, 33.97429591510445),)"
1979,KANDA,62145.0,"((131.02155434887572, 33.792734923772514),)"
1982,Moji Ku,,"((130.93947815172132, 33.929306636564434),)"
1985,Tanoura Ku,,"((130.9852135070669, 33.965846076607704),)"
1986,MUTUREZIMA KO,62065.0,"((130.85770583200824, 33.9453967474401),)"
1987,TOBATA,62115.0,"((130.84561628724725, 33.94580631631767),)"
1989,Port Vanino,,"((140.33407272973307, 49.092393605969846),)"
1990,Vladivostok,,"((131.87557373825, 43.130612046500005),)"
1991,Unknown,,"((-89.16152441372145, 48.40496275573969),)"
1992,Nanticoke Harbour,,"((-80.06612578624113, 42.7753885416314),)"
1993,SAINT JOHN,,"((-66.02810800090928, 45.181805952000005),)"
1994,Baie-Comeau,,"((-68.10931526225028, 49.236910063773394),)"
1995,BAYUQUAN,60230.0,"((121.98775640145823, 40.288874501500004),)"
1996,Longkou Gang,,"((120.21765942290322, 37.6238884955),)"
1997,Rizhao Gang,,"((119.57144443764838, 35.104236979968846),)"
1999,Ningbo-Zhoushan Gang(Ningbo),,"((121.97987480807171, 29.940946488),)"
2000,Ningbo-Zhoushan Gang(Zhoushan),,"((122.07598567052965, 29.8979284655),)"
2001,Guangzhou Gang,,"((113.47443732283975, 23.07199150789529),)"
2002,Humen Gang,,"((113.56153551489115, 22.876246995292604),)"
2003,Shenzhen Gang,,"((113.76586937550303, 22.659005499000003),)"
18388,E8,,"((151.5933329955, -23.8832600315),)"
2005,Shanghai Gang,,"((122.04640073442107, 31.216186503499998),)"
2006,ARHUS,30260.0,"((10.2698580132144, 56.151112988591194),)"
2007,BAHIA SAN VICENTE,14415.0,"((-73.16059437787149, -36.743490770459175),)"
2008,TALCAHUANO,14420.0,"((-73.09559690513441, -36.71177779790014),)"
2009,PUERTO SAN ANTONIO,14470.0,"((-71.63160966010764, -33.584803878329694),)"
18393,E4,,"((151.57500003425, -23.8665944195),)"
2011,BAHIA QUINTERO (VENTANAS),14510.0,"((-71.50608815425838, -32.75100869592279),)"
2012,ANTOFAGASTA,14660.0,"((-70.41560011790378, -23.631164613179862),)"
2013,Unknown,,"((34.64041961124167, 31.848369212821126),)"
18397,E3,,"((151.61166700475, -23.849913887),)"
18399,E7,,"((151.57499999225, -23.883261666),)"
18401,E10,,"((151.57499999225, -23.8999271525),)"
2017,MURORAN KO,61170.0,"((140.9305463396061, 42.3490563640371),)"
2019,TOMAKOMAI KO,61165.0,"((141.65103211892267, 42.601258526),)"
2020,Arida Ku,,"((135.1089703340217, 34.12308789789677),)"
18404,E12,,"((151.61166700475002, -23.8999286615),)"
2022,Shimotsu Ku,,"((135.12065561941122, 34.14875952992588),)"
2023,Unknown,,"((133.74901395794217, 34.47983552701771),)"
2024,SAKAIDE KO,62110.0,"((133.85375949465418, 34.33644207660109),)"
2025,Unknown,,"((133.8819133340375, 34.360671350732446),)"
2026,Tokuyama-Kudamatsu Ko,,"((131.71920401523795, 34.027194483205676),)"
2027,Unknown,,"((131.7564070998261, 33.988300608471036),)"
2028,UBE KO,61690.0,"((131.21980203123886, 33.92270555254072),)"
18412,E5,,"((151.59333299575002, -23.866594252),)"
18409,E9,,"((151.61166700500002, -23.883260409000002),)"
2032,Unknown,,"((121.7555673708987, 25.146345365792513),)"
2033,KAO-HSIUNG,57920.0,"((120.23531212495234, 22.550699156709015),)"
2034,Busan Hang,,"((129.06476327935832, 35.040813586),)"
18419,E2,,"((151.59333299550002, -23.849849933),)"
18417,E6,,"((151.611667005, -23.8665942935),)"
2038,Seoul,,"((126.58833302557468, 37.332371016964316),)"
2039,Unknown,,"((126.49252521986276, 37.3881677535),)"
2040,ULSAN,60400.0,"((129.4345365315, 35.420577800000004),)"
2041,Unknown,,"((129.4414099450023, 35.4347456475),)"
2042,Janghang/Seocheon-gun,,"((126.46402751549999, 35.965651328999996),)"
18422,E11,,"((151.59333297475, -23.899928535500003),)"
2043,KUNSAN,60330.0,"((126.57513902988285, 35.99329333752394),)"
2045,DAESAN HANG,60323.0,"((126.39045735678404, 37.03023039735854),)"
2046,Unknown,,"((126.3321641237425, 37.02311558648944),)"
